"","Engine.Capacity","Fuel.Type","Co2"
"1",1248,"Diesel",89
"2",1496,"Diesel",89
"3",1496,"Diesel",89
"4",1560,"Diesel",86
"5",1560,"Diesel",89
"6",1461,"Diesel",90
"7",1461,"Diesel",90
"8",1560,"Diesel",87
"9",1248,"Diesel",89
"10",1598,"Diesel",89
"11",1598,"Diesel",89
"12",1499,"Diesel",89
"13",1499,"Diesel",82
"14",1499,"Diesel",84
"15",1499,"Diesel",82
"16",1499,"Diesel",82
"17",1499,"Diesel",88
"18",1499,"Diesel",88
"19",1499,"Diesel",88
"20",1499,"Diesel",88
"21",1499,"Diesel",89
"22",1461,"Diesel",89
"23",1461,"Diesel",89
"24",1496,"Diesel",89
"25",1461,"Diesel",85
"26",1560,"Diesel",90
"27",1560,"Diesel",79
"28",1560,"Diesel",90
"29",1560,"Diesel",79
"30",1560,"Diesel",82
"31",1560,"Diesel",84
"32",1560,"Diesel",90
"33",1560,"Diesel",85
"34",1560,"Diesel",88
"35",1461,"Diesel",90
"36",1461,"Diesel",85
"37",1461,"Diesel",82
"38",1461,"Diesel",85
"39",1461,"Diesel",84
"40",1598,"Diesel",90
"41",1598,"Diesel",90
"42",1364,"Diesel",89
"43",1248,"Diesel",87
"44",1248,"Diesel",87
"45",1248,"Diesel",87
"46",1248,"Diesel",89
"47",1248,"Diesel",87
"48",1969,"Diesel",89
"49",1598,"Diesel",99
"50",1598,"Diesel",99
"51",1598,"Diesel",97
"52",1598,"Diesel",97
"53",1598,"Diesel",98
"54",1598,"Diesel",99
"55",1598,"Diesel",99
"56",1598,"Diesel",97
"57",1598,"Diesel",97
"58",1598,"Diesel",98
"59",1598,"Diesel",99
"60",1598,"Diesel",99
"61",1598,"Diesel",99
"62",1968,"Diesel",99
"63",1496,"Diesel",96
"64",1496,"Diesel",94
"65",1995,"Diesel",99
"66",1496,"Diesel",94
"67",1496,"Diesel",96
"68",1995,"Diesel",99
"69",1496,"Diesel",99
"70",1995,"Diesel",99
"71",1560,"Diesel",95
"72",1560,"Diesel",92
"73",1560,"Diesel",93
"74",1560,"Diesel",95
"75",1560,"Diesel",98
"76",1560,"Diesel",95
"77",1560,"Diesel",100
"78",1560,"Diesel",100
"79",1560,"Diesel",98
"80",1560,"Diesel",95
"81",1560,"Diesel",99
"82",1560,"Diesel",100
"83",1560,"Diesel",100
"84",1560,"Diesel",100
"85",1560,"Diesel",100
"86",1560,"Diesel",99
"87",1560,"Diesel",100
"88",1461,"Diesel",98
"89",1560,"Diesel",94
"90",1560,"Diesel",92
"91",1560,"Diesel",94
"92",1560,"Diesel",100
"93",1248,"Diesel",100
"94",1248,"Diesel",99
"95",1598,"Diesel",98
"96",1248,"Diesel",99
"97",1598,"Diesel",98
"98",1499,"Diesel",98
"99",1499,"Diesel",98
"100",1499,"Diesel",98
"101",1499,"Diesel",98
"102",1499,"Diesel",99
"103",1499,"Diesel",94
"104",1499,"Diesel",94
"105",1499,"Diesel",94
"106",1499,"Diesel",94
"107",1499,"Diesel",99
"108",1499,"Diesel",99
"109",1499,"Diesel",99
"110",1499,"Diesel",99
"111",1499,"Diesel",99
"112",1499,"Diesel",99
"113",1499,"Diesel",99
"114",1499,"Diesel",99
"115",1499,"Diesel",99
"116",1499,"Diesel",99
"117",1499,"Diesel",99
"118",1499,"Diesel",99
"119",1499,"Diesel",99
"120",1499,"Diesel",94
"121",1499,"Diesel",99
"122",1499,"Diesel",94
"123",1499,"Diesel",99
"124",1597,"Diesel",94
"125",1597,"Diesel",98
"126",1597,"Diesel",99
"127",1582,"Diesel",99
"128",1582,"Diesel",99
"129",1999,"Diesel",99
"130",1582,"Diesel",94
"131",1582,"Diesel",99
"132",1582,"Diesel",99
"133",1396,"Diesel",92
"134",1396,"Diesel",92
"135",1396,"Diesel",98
"136",1582,"Diesel",99
"137",1396,"Diesel",98
"138",1499,"Diesel",99
"139",1499,"Diesel",99
"140",1461,"Diesel",98
"141",2143,"Diesel",99
"142",1461,"Diesel",98
"143",2143,"Diesel",99
"144",1496,"Diesel",92
"145",1496,"Diesel",98
"146",1496,"Diesel",95
"147",1496,"Diesel",99
"148",1496,"Diesel",92
"149",1496,"Diesel",95
"150",1496,"Diesel",99
"151",1496,"Diesel",97
"152",1496,"Diesel",92
"153",1496,"Diesel",94
"154",1496,"Diesel",99
"155",1496,"Diesel",100
"156",1461,"Diesel",97
"157",1461,"Diesel",92
"158",1461,"Diesel",93
"159",1461,"Diesel",93
"160",1461,"Diesel",94
"161",1461,"Diesel",98
"162",1461,"Diesel",99
"163",1560,"Diesel",94
"164",1560,"Diesel",94
"165",1560,"Diesel",96
"166",1560,"Diesel",95
"167",1560,"Diesel",98
"168",1560,"Diesel",99
"169",1560,"Diesel",97
"170",1560,"Diesel",96
"171",1560,"Diesel",97
"172",1560,"Diesel",94
"173",1560,"Diesel",96
"174",1560,"Diesel",99
"175",1560,"Diesel",100
"176",1461,"Diesel",99
"177",1461,"Diesel",99
"178",1461,"Diesel",98
"179",1461,"Diesel",95
"180",1461,"Diesel",95
"181",1461,"Diesel",98
"182",1461,"Diesel",99
"183",1461,"Diesel",95
"184",1461,"Diesel",92
"185",1461,"Diesel",92
"186",1461,"Diesel",94
"187",1461,"Diesel",99
"188",1461,"Diesel",99
"189",1461,"Diesel",96
"190",1461,"Diesel",98
"191",1461,"Diesel",99
"192",1461,"Diesel",93
"193",1461,"Diesel",93
"194",1461,"Diesel",96
"195",1461,"Diesel",97
"196",1461,"Diesel",99
"197",1461,"Diesel",100
"198",1461,"Diesel",94
"199",1422,"Diesel",100
"200",1422,"Diesel",95
"201",1422,"Diesel",93
"202",1422,"Diesel",100
"203",1422,"Diesel",99
"204",1598,"Diesel",99
"205",1598,"Diesel",99
"206",1598,"Diesel",99
"207",1598,"Diesel",99
"208",1598,"Diesel",100
"209",1364,"Diesel",100
"210",1364,"Diesel",92
"211",1364,"Diesel",92
"212",1598,"Diesel",97
"213",1598,"Diesel",97
"214",1598,"Diesel",97
"215",1598,"Diesel",97
"216",1598,"Diesel",97
"217",1598,"Diesel",97
"218",1598,"Diesel",97
"219",1598,"Diesel",92
"220",1248,"Diesel",99
"221",1248,"Diesel",100
"222",1248,"Diesel",99
"223",1248,"Diesel",96
"224",1248,"Diesel",100
"225",1248,"Diesel",100
"226",1598,"Diesel",96
"227",1598,"Diesel",95
"228",1422,"Diesel",97
"229",1422,"Diesel",97
"230",1422,"Diesel",97
"231",1422,"Diesel",97
"232",1969,"Diesel",99
"233",1969,"Diesel",96
"234",1969,"Diesel",99
"235",1969,"Diesel",99
"236",1969,"Diesel",99
"237",1969,"Diesel",94
"238",1969,"Diesel",99
"239",1969,"Diesel",94
"240",1969,"Diesel",96
"241",1969,"Diesel",99
"242",2143,"Diesel",109
"243",2143,"Diesel",109
"244",1956,"Diesel",110
"245",1598,"Diesel",102
"246",1598,"Diesel",101
"247",1598,"Diesel",106
"248",1598,"Diesel",102
"249",1598,"Diesel",101
"250",1598,"Diesel",106
"251",1598,"Diesel",110
"252",1968,"Diesel",110
"253",1598,"Diesel",106
"254",1598,"Diesel",108
"255",1598,"Diesel",109
"256",1598,"Diesel",103
"257",1598,"Diesel",106
"258",1598,"Diesel",107
"259",1968,"Diesel",105
"260",1968,"Diesel",108
"261",1968,"Diesel",109
"262",1598,"Diesel",107
"263",1598,"Diesel",108
"264",1598,"Diesel",105
"265",1598,"Diesel",106
"266",1968,"Diesel",107
"267",1968,"Diesel",108
"268",1968,"Diesel",110
"269",1598,"Diesel",107
"270",1598,"Diesel",108
"271",1598,"Diesel",103
"272",1598,"Diesel",106
"273",1598,"Diesel",107
"274",1968,"Diesel",105
"275",1968,"Diesel",108
"276",1968,"Diesel",109
"277",1968,"Diesel",104
"278",1968,"Diesel",108
"279",1968,"Diesel",104
"280",1968,"Diesel",110
"281",1968,"Diesel",106
"282",1968,"Diesel",106
"283",1968,"Diesel",106
"284",1968,"Diesel",109
"285",1968,"Diesel",103
"286",1968,"Diesel",101
"287",1968,"Diesel",107
"288",1968,"Diesel",102
"289",1968,"Diesel",107
"290",1968,"Diesel",103
"291",1968,"Diesel",109
"292",2967,"Diesel",109
"293",1968,"Diesel",106
"294",1968,"Diesel",105
"295",1968,"Diesel",109
"296",1968,"Diesel",108
"297",1968,"Diesel",106
"298",1968,"Diesel",110
"299",1968,"Diesel",110
"300",1598,"Diesel",109
"301",1496,"Diesel",103
"302",1496,"Diesel",103
"303",1496,"Diesel",106
"304",1496,"Diesel",107
"305",1995,"Diesel",104
"306",1995,"Diesel",105
"307",1995,"Diesel",109
"308",1995,"Diesel",110
"309",1995,"Diesel",109
"310",1496,"Diesel",103
"311",1496,"Diesel",103
"312",1496,"Diesel",106
"313",1496,"Diesel",107
"314",1995,"Diesel",104
"315",1995,"Diesel",105
"316",1995,"Diesel",109
"317",1995,"Diesel",110
"318",1995,"Diesel",109
"319",1496,"Diesel",103
"320",1496,"Diesel",108
"321",1496,"Diesel",104
"322",1995,"Diesel",109
"323",1995,"Diesel",109
"324",1995,"Diesel",109
"325",1995,"Diesel",108
"326",1995,"Diesel",104
"327",1995,"Diesel",107
"328",1496,"Diesel",108
"329",1496,"Diesel",109
"330",1995,"Diesel",109
"331",1995,"Diesel",109
"332",1995,"Diesel",109
"333",1995,"Diesel",104
"334",1995,"Diesel",108
"335",1995,"Diesel",102
"336",1995,"Diesel",104
"337",1995,"Diesel",107
"338",1995,"Diesel",109
"339",1995,"Diesel",110
"340",1995,"Diesel",106
"341",1995,"Diesel",106
"342",1995,"Diesel",110
"343",1995,"Diesel",109
"344",1995,"Diesel",108
"345",1995,"Diesel",109
"346",1560,"Diesel",109
"347",1560,"Diesel",101
"348",1560,"Diesel",104
"349",1560,"Diesel",103
"350",1997,"Diesel",105
"351",1560,"Diesel",106
"352",1560,"Diesel",105
"353",1560,"Diesel",106
"354",1560,"Diesel",103
"355",1560,"Diesel",103
"356",1560,"Diesel",105
"357",1560,"Diesel",108
"358",1997,"Diesel",103
"359",1560,"Diesel",103
"360",1560,"Diesel",108
"361",1560,"Diesel",104
"362",1560,"Diesel",108
"363",1248,"Diesel",107
"364",1598,"Diesel",109
"365",1248,"Diesel",104
"366",1248,"Diesel",107
"367",1248,"Diesel",107
"368",1248,"Diesel",104
"369",1248,"Diesel",106
"370",1248,"Diesel",109
"371",1248,"Diesel",106
"372",1248,"Diesel",103
"373",1248,"Diesel",106
"374",1499,"Diesel",105
"375",1499,"Diesel",109
"376",1499,"Diesel",105
"377",1997,"Diesel",105
"378",1997,"Diesel",105
"379",1999,"Diesel",110
"380",1999,"Diesel",110
"381",1997,"Diesel",105
"382",1997,"Diesel",105
"383",1999,"Diesel",110
"384",1999,"Diesel",110
"385",1997,"Diesel",109
"386",1997,"Diesel",109
"387",1997,"Diesel",107
"388",1997,"Diesel",109
"389",1997,"Diesel",109
"390",1997,"Diesel",107
"391",1499,"Diesel",104
"392",1597,"Diesel",108
"393",1597,"Diesel",104
"394",1396,"Diesel",106
"395",1582,"Diesel",109
"396",1685,"Diesel",110
"397",1461,"Diesel",103
"398",1461,"Diesel",108
"399",1461,"Diesel",109
"400",1461,"Diesel",102
"401",2143,"Diesel",109
"402",1999,"Diesel",106
"403",1999,"Diesel",109
"404",1999,"Diesel",109
"405",1999,"Diesel",109
"406",1999,"Diesel",104
"407",1685,"Diesel",109
"408",1396,"Diesel",109
"409",1582,"Diesel",103
"410",1582,"Diesel",103
"411",1582,"Diesel",103
"412",1582,"Diesel",102
"413",1582,"Diesel",102
"414",1582,"Diesel",103
"415",1582,"Diesel",102
"416",1582,"Diesel",103
"417",1582,"Diesel",102
"418",1396,"Diesel",109
"419",1396,"Diesel",109
"420",1582,"Diesel",102
"421",1582,"Diesel",109
"422",1582,"Diesel",102
"423",1582,"Diesel",109
"424",1582,"Diesel",102
"425",1582,"Diesel",102
"426",1582,"Diesel",102
"427",1582,"Diesel",109
"428",1582,"Diesel",102
"429",1582,"Diesel",109
"430",1582,"Diesel",102
"431",1685,"Diesel",110
"432",1685,"Diesel",110
"433",1582,"Diesel",103
"434",1582,"Diesel",103
"435",1582,"Diesel",102
"436",1582,"Diesel",103
"437",1582,"Diesel",102
"438",1999,"Diesel",109
"439",1499,"Diesel",105
"440",2191,"Diesel",104
"441",2191,"Diesel",107
"442",2191,"Diesel",107
"443",2191,"Diesel",110
"444",1461,"Diesel",101
"445",1461,"Diesel",102
"446",1461,"Diesel",101
"447",1461,"Diesel",102
"448",2143,"Diesel",106
"449",2143,"Diesel",103
"450",2143,"Diesel",103
"451",2143,"Diesel",107
"452",1461,"Diesel",101
"453",1461,"Diesel",102
"454",1461,"Diesel",101
"455",1461,"Diesel",102
"456",2143,"Diesel",106
"457",2143,"Diesel",103
"458",2143,"Diesel",103
"459",2143,"Diesel",107
"460",1461,"Diesel",104
"461",1461,"Diesel",104
"462",1461,"Diesel",106
"463",1461,"Diesel",107
"464",1461,"Diesel",106
"465",1461,"Diesel",107
"466",2143,"Diesel",104
"467",2143,"Diesel",109
"468",2143,"Diesel",106
"469",2143,"Diesel",106
"470",2143,"Diesel",107
"471",2143,"Diesel",108
"472",2143,"Diesel",108
"473",1461,"Diesel",104
"474",1461,"Diesel",104
"475",1461,"Diesel",106
"476",1461,"Diesel",107
"477",1461,"Diesel",106
"478",1461,"Diesel",107
"479",2143,"Diesel",104
"480",2143,"Diesel",109
"481",2143,"Diesel",106
"482",2143,"Diesel",106
"483",2143,"Diesel",107
"484",2143,"Diesel",108
"485",2143,"Diesel",108
"486",2143,"Diesel",106
"487",2143,"Diesel",106
"488",2143,"Diesel",109
"489",2143,"Diesel",109
"490",2143,"Diesel",106
"491",1598,"Diesel",109
"492",2143,"Diesel",108
"493",2143,"Diesel",108
"494",1598,"Diesel",109
"495",2143,"Diesel",106
"496",2143,"Diesel",108
"497",1598,"Diesel",101
"498",1598,"Diesel",101
"499",1598,"Diesel",106
"500",1598,"Diesel",110
"501",2143,"Diesel",103
"502",2143,"Diesel",109
"503",2143,"Diesel",103
"504",2143,"Diesel",109
"505",2143,"Diesel",110
"506",2143,"Diesel",109
"507",2143,"Diesel",109
"508",1598,"Diesel",101
"509",1598,"Diesel",101
"510",1598,"Diesel",106
"511",1598,"Diesel",110
"512",2143,"Diesel",103
"513",2143,"Diesel",109
"514",2143,"Diesel",103
"515",2143,"Diesel",110
"516",2143,"Diesel",105
"517",2143,"Diesel",109
"518",2143,"Diesel",106
"519",2143,"Diesel",105
"520",2143,"Diesel",109
"521",2143,"Diesel",106
"522",2143,"Diesel",106
"523",2143,"Diesel",108
"524",2143,"Diesel",106
"525",2143,"Diesel",108
"526",1950,"Diesel",109
"527",1950,"Diesel",109
"528",1950,"Diesel",102
"529",1950,"Diesel",105
"530",1950,"Diesel",102
"531",1950,"Diesel",105
"532",2143,"Diesel",108
"533",2143,"Diesel",110
"534",2143,"Diesel",108
"535",2143,"Diesel",110
"536",2143,"Diesel",108
"537",2143,"Diesel",110
"538",2143,"Diesel",108
"539",2143,"Diesel",110
"540",1995,"Diesel",104
"541",1995,"Diesel",106
"542",1995,"Diesel",107
"543",1995,"Diesel",109
"544",1496,"Diesel",102
"545",1995,"Diesel",107
"546",1995,"Diesel",109
"547",1995,"Diesel",109
"548",1995,"Diesel",109
"549",1995,"Diesel",109
"550",1496,"Diesel",104
"551",1496,"Diesel",102
"552",1496,"Diesel",107
"553",1496,"Diesel",104
"554",1496,"Diesel",109
"555",1496,"Diesel",104
"556",1496,"Diesel",105
"557",1496,"Diesel",109
"558",1461,"Diesel",104
"559",1461,"Diesel",107
"560",1461,"Diesel",101
"561",1461,"Diesel",103
"562",1560,"Diesel",101
"563",1997,"Diesel",108
"564",1997,"Diesel",105
"565",1997,"Diesel",102
"566",1997,"Diesel",105
"567",1997,"Diesel",103
"568",1560,"Diesel",102
"569",1997,"Diesel",109
"570",1997,"Diesel",110
"571",1560,"Diesel",103
"572",1560,"Diesel",109
"573",1560,"Diesel",104
"574",1560,"Diesel",108
"575",1560,"Diesel",105
"576",1560,"Diesel",102
"577",1997,"Diesel",102
"578",1997,"Diesel",109
"579",1560,"Diesel",108
"580",1997,"Diesel",110
"581",1560,"Diesel",109
"582",1560,"Diesel",109
"583",1461,"Diesel",101
"584",1461,"Diesel",105
"585",1461,"Diesel",104
"586",1461,"Diesel",104
"587",1461,"Diesel",103
"588",1461,"Diesel",103
"589",1461,"Diesel",101
"590",1598,"Diesel",104
"591",1598,"Diesel",106
"592",1461,"Diesel",104
"593",1598,"Diesel",104
"594",1461,"Diesel",104
"595",1461,"Diesel",104
"596",1461,"Diesel",101
"597",1598,"Diesel",104
"598",1598,"Diesel",106
"599",1461,"Diesel",104
"600",1461,"Diesel",105
"601",1422,"Diesel",104
"602",1422,"Diesel",104
"603",1422,"Diesel",102
"604",1598,"Diesel",109
"605",1598,"Diesel",108
"606",1598,"Diesel",105
"607",1598,"Diesel",106
"608",1598,"Diesel",105
"609",1598,"Diesel",108
"610",1598,"Diesel",109
"611",1598,"Diesel",108
"612",1422,"Diesel",106
"613",1422,"Diesel",103
"614",1598,"Diesel",109
"615",1422,"Diesel",110
"616",1422,"Diesel",104
"617",1422,"Diesel",104
"618",1422,"Diesel",105
"619",1422,"Diesel",104
"620",1422,"Diesel",104
"621",1422,"Diesel",105
"622",1598,"Diesel",102
"623",1598,"Diesel",101
"624",1968,"Diesel",106
"625",1968,"Diesel",107
"626",1598,"Diesel",102
